age,bmi,sleep_hours,heart_rate,activity_level,caffeine_mg,work_hours,meditation_min,screen_time_hours,social_support,stress_score,stress_level
56,19.7,6.2,75,32,153.8,7.1,20.5,7.3,4,45.9,Medium
46,29.3,6.6,56.6,99,7.6,7.3,10.5,9.1,3,14,Low
32,29.2,6.7,72.1,85,249,8.6,0.9,5.6,3,46.7,Medium
60,23.8,6.9,64.2,76,78.4,6.2,4,5.8,4,26.8,Low
25,25.1,6.3,63.7,6,62.4,11.1,2.1,4.6,2,62.9,Medium
38,24.6,9,71.3,7,152.4,6.2,2.8,8.5,1,46.6,Medium
56,18.5,8.4,57.5,27,117.6,6.7,2,5.5,0,36.8,Medium
36,31.2,6.8,80.7,44,170.2,11.5,2,7.8,5,64,Medium
40,21.9,7.4,75.5,72,191.7,8.4,3.9,6.5,5,38.3,Medium
28,22,6.4,72,88,132.6,11.9,1.1,6.2,2,57.2,Medium
28,24.4,3,69.5,79,57.1,7.6,3.9,4,4,50.4,Medium
41,29,7,78.6,73,208.4,13,1.6,9.6,5,63.6,Medium
53,22.6,7.5,76.7,10,94.5,9.2,1.7,8.9,4,53.5,Medium
57,17.2,4.6,70.6,30,80.5,6.5,6.7,10.5,1,60.2,Medium
41,21.5,7.7,55.1,11,161.4,6.5,0.2,3.8,1,43.6,Medium
20,26.7,6.6,63,94,0,5.1,2.4,6.5,4,19.8,Low
39,33.8,7.5,71.7,77,181.3,5.3,2.6,4.4,2,39,Medium
19,20,6.6,52.7,50,165.7,6.7,3.3,6.9,2,36.2,Medium
41,19.8,8.9,69.6,43,239.7,6,5.5,6.6,2,39.6,Medium
61,18.9,7.3,81.1,95,110,2.8,2.3,5.2,5,31.8,Low
47,18.5,8.5,79.3,49,256,9.7,1.2,5.5,0,61.2,Medium
55,29.8,8.6,79.8,16,192.4,9.6,10.8,10.2,0,60.8,Medium
19,31,5.3,80.3,34,147.9,8.6,19.8,5.7,2,61.1,Medium
38,25.7,5.9,92.5,0,295.3,5.7,0.1,1.6,4,82.2,High
50,23.1,7.7,77.5,28,157.6,11.3,4,4.9,1,67.1,High
29,32.2,6.5,82.9,50,108.5,7.6,2.1,3.8,3,52.1,Medium
39,25.7,6.6,56,63,159.9,6.3,1.6,4.2,1,38.1,Medium
61,29.4,8.9,85.5,3,106.9,8.5,2,7.4,1,57.5,Medium
42,22.9,6.5,72.9,86,179.9,8.4,5.1,7.8,3,41.9,Medium
